datetime,open,close,low,high
2019-12-02 09-00,0.6769,0.6773,0.6762,0.6775
2019-12-02 13-00,0.6773,0.6776,0.6771,0.6778
2019-12-02 17-00,0.6776,0.6785,0.6773,0.6787
2019-12-02 21-00,0.6785,0.6794,0.6784,0.6795
2019-12-03 01-00,0.6794,0.6816,0.6794,0.6822
2019-12-03 05-00,0.6816,0.6819,0.6815,0.6826
2019-12-03 09-00,0.6819,0.6818,0.6815,0.6824
2019-12-03 13-00,0.6818,0.6844,0.6816,0.6848
2019-12-03 17-00,0.6844,0.6859,0.6838,0.6861
2019-12-03 21-00,0.6859,0.6837,0.6836,0.6862
2019-12-04 01-00,0.6837,0.6842,0.6835,0.6849
2019-12-04 05-00,0.6842,0.6847,0.684,0.6849
2019-12-04 09-00,0.6847,0.6837,0.683,0.6854
2019-12-04 13-00,0.6837,0.6823,0.6822,0.6839
2019-12-04 17-00,0.6823,0.6828,0.6813,0.6833
2019-12-04 21-00,0.6828,0.6845,0.6824,0.6846
2019-12-05 01-00,0.6845,0.6853,0.684,0.6855
2019-12-05 05-00,0.6853,0.6849,0.6848,0.6854
2019-12-05 09-00,0.6849,0.6847,0.6833,0.6855
2019-12-05 13-00,0.6847,0.684,0.6835,0.685
2019-12-05 17-00,0.684,0.6833,0.6831,0.6848
2019-12-05 21-00,0.6833,0.6824,0.6823,0.6834
2019-12-06 01-00,0.6824,0.6835,0.6821,0.6836
2019-12-06 05-00,0.6835,0.6834,0.683,0.6837
2019-12-06 09-00,0.6834,0.6837,0.6831,0.684
2019-12-06 13-00,0.6837,0.6841,0.6836,0.6844
2019-12-06 17-00,0.6841,0.6846,0.684,0.6847
2019-12-06 21-00,0.6846,0.6844,0.6833,0.6857
2019-12-07 01-00,0.6844,0.684,0.6824,0.6846
2019-12-07 05-00,0.684,0.6841,0.6836,0.6843
2019-12-09 05-00,0.6833,0.6832,0.6829,0.684
2019-12-09 09-00,0.6832,0.6833,0.683,0.6838
2019-12-09 13-00,0.6833,0.6833,0.683,0.6835
2019-12-09 17-00,0.6833,0.6825,0.6822,0.6836
2019-12-09 21-00,0.6825,0.6827,0.682,0.6829
2019-12-10 01-00,0.6827,0.6831,0.6824,0.6836
2019-12-10 05-00,0.6831,0.6823,0.6821,0.6834
2019-12-10 09-00,0.6823,0.6828,0.6819,0.6829
2019-12-10 13-00,0.6828,0.6824,0.6822,0.6837
2019-12-10 17-00,0.6824,0.6814,0.6811,0.683
2019-12-10 21-00,0.6814,0.681,0.68,0.6816
2019-12-11 01-00,0.681,0.6811,0.6806,0.6815
2019-12-11 05-00,0.6811,0.6809,0.6809,0.6817
2019-12-11 09-00,0.6809,0.6816,0.6805,0.6816
2019-12-11 13-00,0.6816,0.6818,0.6807,0.6818
2019-12-11 17-00,0.6818,0.683,0.6816,0.6831
2019-12-11 21-00,0.683,0.6844,0.683,0.6847
2019-12-12 01-00,0.6844,0.6864,0.6844,0.6867
2019-12-12 05-00,0.6864,0.6876,0.686,0.6889
2019-12-12 09-00,0.6876,0.6884,0.6868,0.6884
2019-12-12 13-00,0.6884,0.6881,0.6881,0.6889
2019-12-12 17-00,0.6881,0.6881,0.6878,0.6886
2019-12-12 21-00,0.6881,0.6893,0.6881,0.6896
2019-12-13 01-00,0.6893,0.6892,0.6887,0.6909
2019-12-13 05-00,0.6892,0.6909,0.6887,0.6913
2019-12-13 09-00,0.6909,0.6923,0.6907,0.6939
2019-12-13 13-00,0.6923,0.6922,0.6919,0.6929
2019-12-13 17-00,0.6922,0.6916,0.6913,0.6929
2019-12-13 21-00,0.6916,0.6907,0.6905,0.6919
2019-12-14 01-00,0.6907,0.6866,0.6864,0.6915
2019-12-14 05-00,0.6866,0.6876,0.6865,0.6877
2019-12-16 05-00,0.6892,0.6886,0.6879,0.6895
2019-12-16 09-00,0.6886,0.6881,0.687,0.6886
2019-12-16 13-00,0.6881,0.6871,0.687,0.6886
2019-12-16 17-00,0.6871,0.6882,0.6869,0.6882
2019-12-16 21-00,0.6882,0.6897,0.6882,0.6898
2019-12-17 01-00,0.6897,0.689,0.6886,0.6897
2019-12-17 05-00,0.689,0.6885,0.6883,0.6893
2019-12-17 09-00,0.6885,0.6868,0.6864,0.6885
2019-12-17 13-00,0.6868,0.6868,0.6861,0.6872
2019-12-17 17-00,0.6868,0.6849,0.6844,0.6869
2019-12-17 21-00,0.6849,0.6841,0.684,0.6856
2019-12-18 01-00,0.6841,0.6851,0.6838,0.6857
2019-12-18 05-00,0.6851,0.6851,0.6846,0.6861
2019-12-18 09-00,0.6852,0.6845,0.6844,0.6856
2019-12-18 13-00,0.6845,0.685,0.6841,0.6851
2019-12-18 17-00,0.685,0.6849,0.6839,0.6853
2019-12-18 21-00,0.6849,0.6849,0.6848,0.6859
2019-12-19 01-00,0.6849,0.6855,0.6849,0.6864
2019-12-19 05-00,0.6855,0.6853,0.6851,0.6856
2019-12-19 09-00,0.6853,0.6871,0.6849,0.6881
2019-12-19 13-00,0.6871,0.6879,0.687,0.6881
