datetime,open,high,low,close,,MA5,MA20,MA5-MA20,
1/01/2020 9:00,0.7021,0.7021,0.7016,0.7016,,,,,
2/01/2020 1:00,0.7024,0.7024,0.7006,0.7007,,,,,
2/01/2020 5:00,0.7013,0.7019,0.7011,0.7017,,,,,
2/01/2020 9:00,0.7017,0.702,0.7006,0.7016,,,,,
2/01/2020 13:00,0.7016,0.7019,0.6995,0.7002,,0.70116,,,
2/01/2020 17:00,0.7002,0.7007,0.6995,0.6998,,0.7008,,,
2/01/2020 21:00,0.6998,0.7,0.6983,0.6997,,0.7006,,,
3/01/2020 1:00,0.6997,0.7003,0.6979,0.6984,,0.69994,,,
3/01/2020 5:00,0.6984,0.6993,0.698,0.6993,,0.69948,,,
3/01/2020 9:00,0.6993,0.6995,0.6973,0.6974,,0.69892,,,
3/01/2020 13:00,0.6974,0.6977,0.6958,0.696,,0.69816,,,
3/01/2020 17:00,0.696,0.6964,0.6936,0.6937,,0.69696,,,
3/01/2020 21:00,0.6937,0.6956,0.693,0.6945,,0.69618,,,
4/01/2020 1:00,0.6945,0.6965,0.6944,0.6963,,0.69558,,,
4/01/2020 5:00,0.6963,0.6963,0.6945,0.695,,0.6951,,,
6/01/2020 5:00,0.6954,0.6968,0.6932,0.6942,,0.69474,,,
6/01/2020 9:00,0.6942,0.6956,0.6933,0.694,,0.6948,,,
6/01/2020 13:00,0.694,0.6949,0.6937,0.6937,,0.69464,,,
6/01/2020 17:00,0.6937,0.6956,0.6933,0.6955,,0.69448,,,
6/01/2020 21:00,0.6955,0.6958,0.6942,0.6944,,0.69436,0.697385,-0.003025,
7/01/2020 1:00,0.6944,0.6945,0.6925,0.6935,,0.69422,0.69698,-0.00276,hold
7/01/2020 5:00,0.6935,0.6942,0.6932,0.694,,0.69422,0.696645,-0.002425,hold
7/01/2020 9:00,0.694,0.6943,0.6927,0.6932,,0.69412,0.69622,-0.0021,hold
7/01/2020 13:00,0.6932,0.6939,0.6912,0.6913,,0.69328,0.695705,-0.002425,hold
7/01/2020 17:00,0.6913,0.692,0.689,0.6893,,0.69226,0.69516,-0.0029,hold
7/01/2020 21:00,0.6893,0.6894,0.6865,0.6867,,0.6909,0.694505,-0.003605,hold
8/01/2020 1:00,0.6867,0.6873,0.6859,0.6868,,0.68946,0.69386,-0.0044,hold
8/01/2020 5:00,0.6868,0.6871,0.6862,0.687,,0.68822,0.69329,-0.00507,hold
8/01/2020 9:00,0.687,0.6873,0.685,0.6866,,0.68728,0.692655,-0.005375,hold
8/01/2020 13:00,0.6866,0.6884,0.6865,0.687,,0.68682,0.692135,-0.005315,hold
8/01/2020 17:00,0.687,0.6885,0.6869,0.6872,,0.68692,0.691695,-0.004775,hold
8/01/2020 21:00,0.6872,0.6873,0.6858,0.6867,,0.6869,0.691345,-0.004445,hold
