dateime,open,close,low,high
2020-05-06 13:00:00,1.08119,1.08069,1.07894,1.08261
2020-05-06 17:00:00,1.08069,1.07919,1.07901,1.08126
2020-05-06 21:00:00,1.07919,1.07931,1.07902,1.08019
2020-05-07 01:00:00,1.07931,1.07985,1.07927,1.0804
2020-05-07 05:00:00,1.07985,1.07923,1.07855,1.08158
2020-05-07 09:00:00,1.07923,1.07938,1.07759,1.08007
2020-05-07 13:00:00,1.07938,1.08118,1.07659,1.0818
2020-05-07 17:00:00,1.08118,1.08309,1.08115,1.08334
2020-05-07 21:00:00,1.08309,1.08473,1.08209,1.0849
2020-05-08 01:00:00,1.08473,1.08425,1.0841,1.08542
2020-05-08 05:00:00,1.08425,1.08338,1.08187,1.08455
2020-05-08 09:00:00,1.08338,1.08355,1.08245,1.08512
2020-05-08 13:00:00,1.08355,1.0846,1.08145,1.08752
2020-05-08 17:00:00,1.0846,1.08344,1.08319,1.08528
2020-05-10 17:00:00,1.08344,1.08318,1.08195,1.08328
2020-05-10 21:00:00,1.08262,1.08449,1.08219,1.08455
2020-05-11 01:00:00,1.08449,1.08461,1.08406,1.08499
2020-05-11 05:00:00,1.08461,1.08174,1.0808,1.08468
2020-05-11 09:00:00,1.08174,1.08195,1.08097,1.08293
2020-05-11 13:00:00,1.08195,1.08076,1.08022,1.08434
2020-05-11 17:00:00,1.08076,1.08059,1.07994,1.08169
2020-05-11 21:00:00,1.08059,1.0792,1.07837,1.08101
2020-05-12 01:00:00,1.0792,1.08041,1.07875,1.08082
2020-05-12 05:00:00,1.08041,1.08195,1.07996,1.0827
2020-05-12 09:00:00,1.08195,1.08588,1.08118,1.08639
2020-05-12 13:00:00,1.08588,1.08502,1.08473,1.08848
2020-05-12 17:00:00,1.08502,1.08463,1.08463,1.08575
2020-05-12 21:00:00,1.08463,1.08543,1.08441,1.08566
2020-05-13 01:00:00,1.08543,1.08488,1.08433,1.08563
2020-05-13 05:00:00,1.08488,1.08418,1.08304,1.08551
2020-05-13 09:00:00,1.08418,1.08786,1.08344,1.08806
2020-05-13 13:00:00,1.08786,1.08216,1.08191,1.08959
2020-05-13 17:00:00,1.08216,1.08174,1.0811,1.08234
2020-05-13 21:00:00,1.08174,1.08209,1.0815,1.08234
2020-05-14 01:00:00,1.08209,1.08088,1.08045,1.08212
2020-05-14 05:00:00,1.08088,1.08094,1.07953,1.08199
2020-05-14 09:00:00,1.08094,1.07884,1.07742,1.08123
2020-05-14 13:00:00,1.07884,1.07817,1.07805,1.08159
2020-05-14 17:00:00,1.07817,1.08037,1.07795,1.08046
2020-05-14 21:00:00,1.08037,1.08048,1.0799,1.08074
2020-05-15 01:00:00,1.08048,1.08047,1.07978,1.08066
2020-05-15 05:00:00,1.08047,1.08106,1.07925,1.08189
2020-05-15 09:00:00,1.08106,1.08289,1.07883,1.08395
2020-05-15 13:00:00,1.08289,1.08063,1.08031,1.0851
2020-05-15 17:00:00,1.08063,1.08165,1.0804,1.08204
2020-05-17 17:00:00,1.08165,1.08148,1.08019,1.08086
2020-05-17 21:00:00,1.08067,1.08163,1.0807,1.08228
2020-05-18 01:00:00,1.08163,1.082,1.08138,1.08264
2020-05-18 05:00:00,1.082,1.08089,1.08017,1.0828
2020-05-18 09:00:00,1.08089,1.08372,1.07991,1.08432
2020-05-18 13:00:00,1.08372,1.09085,1.08363,1.09196
2020-05-18 17:00:00,1.09085,1.0915,1.09044,1.09264
2020-05-18 21:00:00,1.0915,1.09185,1.09102,1.09232
2020-05-19 01:00:00,1.09185,1.0909,1.09016,1.09194
2020-05-19 05:00:00,1.0909,1.09505,1.09069,1.09528
2020-05-19 09:00:00,1.09505,1.095,1.09415,1.09755
2020-05-19 13:00:00,1.095,1.09288,1.09236,1.09501
2020-05-19 17:00:00,1.09288,1.09216,1.09179,1.09535
2020-05-19 21:00:00,1.09216,1.09377,1.09181,1.0939
2020-05-20 01:00:00,1.09377,1.09405,1.09352,1.09463
2020-05-20 05:00:00,1.09405,1.09416,1.09373,1.09595
2020-05-20 09:00:00,1.09416,1.09645,1.09375,1.09662
2020-05-20 13:00:00,1.09645,1.09751,1.09616,1.09985
2020-05-20 17:00:00,1.09751,1.0977,1.09726,1.09918
2020-05-20 21:00:00,1.0977,1.09677,1.09674,1.09814
2020-05-21 01:00:00,1.09677,1.096,1.09561,1.09682
2020-05-21 05:00:00,1.096,1.09718,1.09517,1.09784
2020-05-21 09:00:00,1.09718,1.09948,1.09597,1.10079
2020-05-21 13:00:00,1.09948,1.09543,1.09365,1.09949
2020-05-21 17:00:00,1.09543,1.09477,1.09411,1.09681
2020-05-21 21:00:00,1.09477,1.09471,1.09446,1.09532
2020-05-22 01:00:00,1.09471,1.09288,1.09265,1.09508
2020-05-22 05:00:00,1.09288,1.08988,1.08955,1.09316
2020-05-22 09:00:00,1.08988,1.08976,1.08867,1.09127
2020-05-22 13:00:00,1.08976,1.08874,1.08847,1.09039
2020-05-22 17:00:00,1.08874,1.0898,1.0887,1.09053
2020-05-24 17:00:00,1.0898,1.08954,1.08869,1.08946
2020-05-24 21:00:00,1.0893,1.09011,1.08931,1.09081
2020-05-25 01:00:00,1.09011,1.08901,1.08866,1.09018
2020-05-25 05:00:00,1.08901,1.08885,1.08698,1.08926
2020-05-25 09:00:00,1.08885,1.09037,1.08879,1.09139
2020-05-25 13:00:00,1.09037,1.08927,1.08891,1.09096
2020-05-25 17:00:00,1.08927,1.08945,1.08915,1.0899
2020-05-25 21:00:00,1.08945,1.09092,1.08905,1.09098
2020-05-26 01:00:00,1.09092,1.09187,1.09072,1.09214
2020-05-26 05:00:00,1.09187,1.09568,1.0914,1.09592
2020-05-26 09:00:00,1.09568,1.097,1.0951,1.09796
2020-05-26 13:00:00,1.097,1.09757,1.09635,1.09912
2020-05-26 17:00:00,1.09757,1.0981,1.097,1.09952
2020-05-26 21:00:00,1.0981,1.09695,1.09672,1.09846
2020-05-27 01:00:00,1.09695,1.09544,1.09532,1.09745
2020-05-27 05:00:00,1.09544,1.09561,1.09505,1.09786
2020-05-27 09:00:00,1.09561,1.09977,1.09332,1.10303
2020-05-27 13:00:00,1.09977,1.09742,1.09546,1.10161
2020-05-27 17:00:00,1.09742,1.10023,1.09678,1.10088
2020-05-27 21:00:00,1.10023,1.10225,1.10004,1.10264
2020-05-28 01:00:00,1.10225,1.10074,1.10052,1.10348
2020-05-28 05:00:00,1.10074,1.09984,1.09911,1.10301
2020-05-28 09:00:00,1.09984,1.1021,1.09916,1.1029
2020-05-28 13:00:00,1.1021,1.10815,1.10209,1.10821
2020-05-28 17:00:00,1.10815,1.10758,1.10663,1.1093
2020-05-28 21:00:00,1.10758,1.10759,1.10671,1.10806
2020-05-29 01:00:00,1.10759,1.10988,1.10735,1.10997
2020-05-29 05:00:00,1.10988,1.11165,1.10888,1.11194
2020-05-29 09:00:00,1.11165,1.11291,1.11121,1.11446
2020-05-29 13:00:00,1.11291,1.10972,1.10889,1.11324
2020-05-29 17:00:00,1.10972,1.11004,1.10803,1.1108
2020-05-31 17:00:00,1.11004,1.11119,1.11128,1.11214
2020-05-31 21:00:00,1.11145,1.11211,1.11018,1.11255
2020-06-01 01:00:00,1.11211,1.11328,1.11158,1.11397
2020-06-01 05:00:00,1.11328,1.11391,1.11155,1.11535
2020-06-01 09:00:00,1.11391,1.11093,1.10999,1.11408
